Name,TikTok Link,Caption,Transcript
The Happy Crane,https://www.tiktok.com/@willwanderforfood/video/7563448724924534030,"This place is already the most hyped new Chinese spot in SF. I had to come back to try their special Peking duck experience.

The skin is everything, and here, it’s extra thick and crispy. They even pair it with pluots, which was unexpected but great in the wraps.

The rest of the modern menu hits hard as well. I love the firecracker shrimp and salted egg yolk squash. And their cocktails are excellent.

Safe to say, I left as happy as a crane.

📍The Happy Crane, San Francisco

#thehappycrane #sfeats #pekingduck","This place is already the most hyped new Chinese spot in SF. I had to come back to try their special Peking duck experience.

The skin is everything, and here, it’s extra thick and crispy. They even pair it with pluots, which was unexpected but great in the wraps.

The rest of the modern menu hits hard as well. I love the firecracker shrimp and salted egg yolk squash. And their cocktails are excellent.

Safe to say, I left as happy as a crane.

📍The Happy Crane, San Francisco

#thehappycrane #sfeats #pekingduck"
Abacá,https://www.tiktok.com/@willwanderforfood/video/7561185755188579639,"It’s Filipino American Heritage Month, and Abacá SF is bringing top Filipino chefs from around the country, right here in Fisherman’s Wharf.

The first of four events is a creative brunch, with dishes like garlic butter pandesal, longanisa scotch egg, and pandan espresso martini.
Then there’s a pulutan bar night, plus a hands-only kamayan feast, and a tasting dinner finale.

Check out the full lineup and special dishes on their site.

📍Abacá, San Francisco [hosted]

#restaurantabaca #fahm #sfeats #bayareaeats","It’s Filipino American Heritage Month, and Abacá SF is bringing top Filipino chefs from around the country, right here in Fisherman’s Wharf.

The first of four events is a creative brunch, with dishes like garlic butter pandesal, longanisa scotch egg, and pandan espresso martini.
Then there’s a pulutan bar night, plus a hands-only kamayan feast, and a tasting dinner finale.

Check out the full lineup and special dishes on their site.

📍Abacá, San Francisco [hosted]

#restaurantabaca #fahm #sfeats #bayareaeats"
Wolfsbane,https://www.tiktok.com/@willwanderforfood/video/7560365980401061134,"Hands down, my favorite SF restaurant opening this year! Wolfsbane is helmed by pros and off to a strong start with an 11-course tasting menu that feels remarkably polished, especially on day one, no less.

And the space was equally stunning, housed in the former Serpentine location.

Wolfsbane SF from the former Lord Stanley team, officially opens October 15. Get reservations for the tasting menu, with an à la carte menu available for walk-ins.

📍Wolfsbane, San Francisco [hosted]

#wolfsbanesf #sfrestaurants #sfeats #sffinedining","Hands down, my favorite SF restaurant opening this year! Wolfsbane is helmed by pros and off to a strong start with an 11-course tasting menu that feels remarkably polished, especially on day one, no less.

And the space was equally stunning, housed in the former Serpentine location.

Wolfsbane SF from the former Lord Stanley team, officially opens October 15. Get reservations for the tasting menu, with an à la carte menu available for walk-ins.

📍Wolfsbane, San Francisco [hosted]

#wolfsbanesf #sfrestaurants #sfeats #sffinedining"
Noka Ramen,https://www.tiktok.com/@willwanderforfood/video/7555346666824437005,"Last year, I had a first date at a music festival and we met right here at this ramen stand. Surprisingly I might add, because we did not have cell phone service. This year, he got us VIP tickets for our one-year anniversary.

Then of course, we broke up right before.

But undeterred, I hustled because I still needed the VIP experience at my favorite music festival.

So today’s post is sponsored by Noka Ramen. Did you know, they make the best ramen at Portola music festival. Like, share, and follow to support future date-free content.

📍Noka Ramen @Portola Festival [hosted]","Last year, I had a first date at a music festival and we met right here at this ramen stand. Surprisingly I might add, because we did not have cell phone service. This year, he got us VIP tickets for our one-year anniversary.

Then of course, we broke up right before.

But undeterred, I hustled because I still needed the VIP experience at my favorite music festival.

So today’s post is sponsored by Noka Ramen. Did you know, they make the best ramen at Portola music festival. Like, share, and follow to support future date-free content.

📍Noka Ramen @Portola Festival [hosted]"
Farmhouse Thai,https://www.tiktok.com/@willwanderforfood/video/7553347386718883086,"SF is so freaking small. Even at our music festivals, I run into people. This time it was literally the worst human being I personally know. They parked themselves right in front of me for half of Dom Dolla’s set, and pretended not to see me. Thank goodness they eventually skied away.

I knew I should have just kept my ass in VIP dancing and eating. Farmhouse Thai always has a sweet setup with a main stage view.

I enjoyed this wagyu burger stacked with pork belly and fried egg. And I had clear line of sight to Bob Moses.

The cocktails came with Pokémon cards. I poured mine into a coconut to take on the dance floor.

Next year, I’m posted up at VIP. Views, spicy eats, and no basic Team Rocket run-ins.

📍Farmhouse Thai at Portola Festival, San Francisco [hosted]

#portolafestival #farmhousethai","SF is so freaking small. Even at our music festivals, I run into people. This time it was literally the worst human being I personally know. They parked themselves right in front of me for half of Dom Dolla’s set, and pretended not to see me. Thank goodness they eventually skied away.

I knew I should have just kept my ass in VIP dancing and eating. Farmhouse Thai always has a sweet setup with a main stage view.

I enjoyed this wagyu burger stacked with pork belly and fried egg. And I had clear line of sight to Bob Moses.

The cocktails came with Pokémon cards. I poured mine into a coconut to take on the dance floor.

Next year, I’m posted up at VIP. Views, spicy eats, and no basic Team Rocket run-ins.

📍Farmhouse Thai at Portola Festival, San Francisco [hosted]

#portolafestival #farmhousethai"
Merkado,https://www.tiktok.com/@willwanderforfood/video/7553347386718883086,"Who needs ice when you’ve got spice? Merkado’s celebrating Hispanic Heritage Month with Taco Tuesday specials like chile en nogada, plus creative staff tacos inspired by home, and ‘No ICE’ themed cocktails. Proceeds support the Immigrant Legal Resource Center.

Highlights? The spicy grilled fish taco, the juicy cabeza cow’s head, and fried shrimp tacos. And I couldn’t resist their ceviche and queso either.

This menu runs every Tuesday through October 14th.

📍Merkado, San Francisco [hosted]

#merkadosf #hispanicheritagemonth #sfeats","Who needs ice when you’ve got spice? Merkado’s celebrating Hispanic Heritage Month with Taco Tuesday specials like chile en nogada, plus creative staff tacos inspired by home, and ‘No ICE’ themed cocktails. Proceeds support the Immigrant Legal Resource Center.

Highlights? The spicy grilled fish taco, the juicy cabeza cow’s head, and fried shrimp tacos. And I couldn’t resist their ceviche and queso either.

This menu runs every Tuesday through October 14th.

📍Merkado, San Francisco [hosted]

#merkadosf #hispanicheritagemonth #sfeats"
Sushi Hon,https://www.tiktok.com/@willwanderforfood/video/7550827685417864461,"Some days I’m too down to leave the house, but I still want something fancier than my usual comfort food. So today I splurged on omakase delivery.

Sushi Hon has a great lunch deal, and I even re-plated it to make it feel a little more special. The sushi’s fresh, the rice has that perfect tang, and it even came with a toro hand roll.

Plus, the printed menu makes it easy to enjoy the omakase the same order you would at the restaurant. And it did cheer me up a bit.

📍Sushi Hon, San Francisco

#sfeats #omakasesushi","Some days I’m too down to leave the house, but I still want something fancier than my usual comfort food. So today I splurged on omakase delivery.

Sushi Hon has a great lunch deal, and I even re-plated it to make it feel a little more special. The sushi’s fresh, the rice has that perfect tang, and it even came with a toro hand roll.

Plus, the printed menu makes it easy to enjoy the omakase the same order you would at the restaurant. And it did cheer me up a bit.

📍Sushi Hon, San Francisco

#sfeats #omakasesushi"
Penny Roma,https://www.tiktok.com/@willwanderforfood/video/7550168617967455543,"Already a fan of Penny Roma’s dreamy courtyard and pasta, but this dinner hit another level. Edible SF hosted a Pecorino Romano PDO feast upstairs in the sunlit private dining room.

We started off with charcuterie, twirled into tonnarelli cacio e pepe and rigatoni all’amatriciana, and enjoyed chicken al mattone. A surprise star was a savory-sweet fior di latte al Pecorino Romano PDO gelato with candied hazelnut and balsamico.

Rosé and reds from Stewart Vineyards kept the night flowing.

📍Penny Roma, San Francisco [hosted]

#pennyroma #ediblesf #sfrestaurants #sfeats","Already a fan of Penny Roma’s dreamy courtyard and pasta, but this dinner hit another level. Edible SF hosted a Pecorino Romano PDO feast upstairs in the sunlit private dining room.

We started off with charcuterie, twirled into tonnarelli cacio e pepe and rigatoni all’amatriciana, and enjoyed chicken al mattone. A surprise star was a savory-sweet fior di latte al Pecorino Romano PDO gelato with candied hazelnut and balsamico.

Rosé and reds from Stewart Vineyards kept the night flowing.

📍Penny Roma, San Francisco [hosted]

#pennyroma #ediblesf #sfrestaurants #sfeats"
Local Kitchens,https://www.tiktok.com/@willwanderforfood/video/7548889168370355469,"I wish there was a spot in the Bay Area where that one friend who only snacks on fries, the other friend who only wants Asian food, and me, who eats like a snobby raccoon, can all agree on dinner. [ad]

Well Local Kitchens said say less. They got New York’s Queen of Falafel and Chopped champion Einat Admony, plus a lineup of other diverse chefs, all in one bold menu.

I went straight for her signature falafel in a pita, and it was bright green with all the herbs.
The hummus? Smooth and creamy. The pita? Extra fluffy.Of course I got all the dips, like this spiced amba aioli, tangy green s’chug, and crispy fried cauliflower bites to dunk it all in.

They’ve got locations throughout California, and their newest in Burlingame opens this fall.

Group food crisis averted.

📍Local Kitchens, California

#localkitchens #sfeats #bayareaeats","I wish there was a spot in the Bay Area where that one friend who only snacks on fries, the other friend who only wants Asian food, and me, who eats like a snobby raccoon, can all agree on dinner. [ad]

Well Local Kitchens said say less. They got New York’s Queen of Falafel and Chopped champion Einat Admony, plus a lineup of other diverse chefs, all in one bold menu.

I went straight for her signature falafel in a pita, and it was bright green with all the herbs.
The hummus? Smooth and creamy. The pita? Extra fluffy.Of course I got all the dips, like this spiced amba aioli, tangy green s’chug, and crispy fried cauliflower bites to dunk it all in.

They’ve got locations throughout California, and their newest in Burlingame opens this fall.

Group food crisis averted.

📍Local Kitchens, California

#localkitchens #sfeats #bayareaeats"
Maritime Boat Club,https://www.tiktok.com/@willwanderforfood/video/7548268949377404173,"One of the things I love about SF. You can wander into the most unassuming hotel lobby, and discover a craft cocktail bar and restaurant with a fine-dining pedigree.

Maritime Boat Club is a nautical-themed spot on the edge of Union Square.

I’m still drooling over the kanpachi passionfruit crudo, and their sourdough with corn spread. And I washed it down with a briny oyster martini that tasted like the ocean.

And the space was chill, it felt like a hidden gem.

Next time I’m splurging, and I’m going to try their seafood tower.

📍Maritime Boat Club, San Francisco

#maritimeboatclub #sfbars #sfrestaurants","One of the things I love about SF. You can wander into the most unassuming hotel lobby, and discover a craft cocktail bar and restaurant with a fine-dining pedigree.

Maritime Boat Club is a nautical-themed spot on the edge of Union Square.

I’m still drooling over the kanpachi passionfruit crudo, and their sourdough with corn spread. And I washed it down with a briny oyster martini that tasted like the ocean.

And the space was chill, it felt like a hidden gem.

Next time I’m splurging, and I’m going to try their seafood tower.

📍Maritime Boat Club, San Francisco

#maritimeboatclub #sfbars #sfrestaurants"
